departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
FRA,MSP,condor.com,airport,false,*,*,false
HAV,EBL,condor.com,airport,false,*,*,false
FRA,SAC,condor.com,airport,false,*,*,false
FRA,WDH,condor.com,airport,false,*,*,false
FRA,HER,condor.com,airport,false,*,*,false
FRA,MEX,condor.com,airport,false,*,*,false
FRA,VLC,condor.com,airport,false,*,*,false
LAS,FRA,condor.com,airport,false,*,*,false
KGS,STR,condor.com,airport,false,*,*,false
FRA,JNB,condor.com,airport,false,*,*,false
FRA,KGS,condor.com,airport,false,*,*,false
FUE,NUE,condor.com,airport,false,*,*,false
DUS,ACE,condor.com,airport,false,*,*,false
CHQ,DUS,condor.com,airport,false,*,*,false
CUN,IST,condor.com,airport,false,*,*,false
BKK,HAJ,condor.com,airport,false,*,*,false
DUS,CFU,condor.com,airport,false,*,*,false
DUS,PVK,condor.com,airport,false,*,*,false
FAO,FRA,condor.com,airport,false,*,*,false
DUS,RUH,condor.com,airport,false,*,*,false
DUS,MAD,condor.com,airport,false,*,*,false
AYT,FRA,condor.com,airport,false,*,*,false
BRU,YTO,condor.com,airport,false,*,*,false
YVR,SHJ,condor.com,airport,false,*,*,false
SFO,CMN,condor.com,airport,false,*,*,false
SDQ,DXB,condor.com,airport,false,*,*,false
YTO,CGN,condor.com,airport,false,*,*,false
SAT,FRA,condor.com,airport,false,*,*,false
YTO,COK,condor.com,airport,false,*,*,false
STR,MAN,condor.com,airport,false,*,*,false
YYC,MIR,condor.com,airport,false,*,*,false
YYC,JED,condor.com,airport,false,*,*,false
SAT,BEY,condor.com,airport,false,*,*,false
STR,KGS,condor.com,airport,false,*,*,false
YTO,NUE,condor.com,airport,false,*,*,false
YVR,RUH,condor.com,airport,false,*,*,false
SEZ,MIR,condor.com,airport,false,*,*,false
YYC,AMM,condor.com,airport,false,*,*,false
YTO,TAS,condor.com,airport,false,*,*,false
YTO,BRU,condor.com,airport,false,*,*,false
YTO,WAW,condor.com,airport,false,*,*,false
STR,TCI,condor.com,airport,false,*,*,false
YVR,BER,condor.com,airport,false,*,*,false
SFO,MAD,condor.com,airport,false,*,*,false
YVR,BGW,condor.com,airport,false,*,*,false
YTO,HAM,condor.com,airport,false,*,*,false
LPA,NUE,condor.com,airport,false,*,*,false
MBJ,AMM,condor.com,airport,false,*,*,false
PMI,IST,condor.com,airport,false,*,*,false
MUC,ALC,condor.com,airport,false,*,*,false
MRU,LON,condor.com,airport,false,*,*,false
NUE,ATH,condor.com,airport,false,*,*,false
LPA,STR,condor.com,airport,false,*,*,false
MUC,MAD,condor.com,airport,false,*,*,false
LEJ,DAM,condor.com,airport,false,*,*,false
MUC,CMN,condor.com,airport,false,*,*,false
