departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
PDX,MSO,theflightsfare.co.uk,airport,false,*,*,false
PHX,SLC,theflightsfare.co.uk,airport,false,*,*,false
LAS,SAN,theflightsfare.co.uk,airport,false,*,*,false
MSY,ATL,theflightsfare.co.uk,airport,false,*,*,false
SAN,MEM,theflightsfare.co.uk,airport,false,*,*,false
FLL,KOA,theflightsfare.co.uk,airport,false,*,*,false
IAD,DTW,theflightsfare.co.uk,airport,false,*,*,false
SFO,LAX,theflightsfare.co.uk,airport,false,*,*,false
LAX,MCI,theflightsfare.co.uk,airport,false,*,*,false
ATL,RSW,theflightsfare.co.uk,airport,false,*,*,false
HOU,RNO,theflightsfare.co.uk,airport,false,*,*,false
COS,MKE,theflightsfare.co.uk,airport,false,*,*,false
MFE,MSP,theflightsfare.co.uk,airport,false,*,*,false
STL,EWR,theflightsfare.co.uk,airport,false,*,*,false
ORD,DLH,theflightsfare.co.uk,airport,false,*,*,false
ORD,ORF,theflightsfare.co.uk,airport,false,*,*,false
IND,BWI,theflightsfare.co.uk,airport,false,*,*,false
EWR,AUS,theflightsfare.co.uk,airport,false,*,*,false
JAX,BUF,theflightsfare.co.uk,airport,false,*,*,false
LGA,SFO,theflightsfare.co.uk,airport,false,*,*,false
FLL,RST,theflightsfare.co.uk,airport,false,*,*,false
OKC,AUS,theflightsfare.co.uk,airport,false,*,*,false
BWI,BUR,theflightsfare.co.uk,airport,false,*,*,false
MCO,CLE,theflightsfare.co.uk,airport,false,*,*,false
PHL,CUN,theflightsfare.co.uk,airport,false,*,*,false
SAT,LAX,theflightsfare.co.uk,airport,false,*,*,false
MCO,OMA,theflightsfare.co.uk,airport,false,*,*,false
EWR,LAS,theflightsfare.co.uk,airport,false,*,*,false
SAN,SEA,theflightsfare.co.uk,airport,false,*,*,false
PBI,ATL,theflightsfare.co.uk,airport,false,*,*,false
DEN,PDX,theflightsfare.co.uk,airport,false,*,*,false
GEG,DFW,theflightsfare.co.uk,airport,false,*,*,false
SAN,ORD,theflightsfare.co.uk,airport,false,*,*,false
FSD,BGR,theflightsfare.co.uk,airport,false,*,*,false
DTW,LAS,theflightsfare.co.uk,airport,false,*,*,false
DCA,TPA,theflightsfare.co.uk,airport,false,*,*,false
PHX,HOU,theflightsfare.co.uk,airport,false,*,*,false
SLC,ICT,theflightsfare.co.uk,airport,false,*,*,false
RDU,EWR,theflightsfare.co.uk,airport,false,*,*,false
ORD,LAS,theflightsfare.co.uk,airport,false,*,*,false
SEA,OMA,theflightsfare.co.uk,airport,false,*,*,false
ATL,MDW,theflightsfare.co.uk,airport,false,*,*,false
TPA,CLT,theflightsfare.co.uk,airport,false,*,*,false
BWI,DEN,theflightsfare.co.uk,airport,false,*,*,false
CLE,DEN,theflightsfare.co.uk,airport,false,*,*,false
ATL,DTW,theflightsfare.co.uk,airport,false,*,*,false
PHL,ATL,theflightsfare.co.uk,airport,false,*,*,false
MYR,EWR,theflightsfare.co.uk,airport,false,*,*,false
LAX,SEA,theflightsfare.co.uk,airport,false,*,*,false
SLC,LAS,theflightsfare.co.uk,airport,false,*,*,false
SFO,RDU,theflightsfare.co.uk,airport,false,*,*,false
LAS,HOU,theflightsfare.co.uk,airport,false,*,*,false
