departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
STR,OMH,zd.wego.com,airport,false,*,*,true,*
BJV,OMH,zd.wego.com,airport,false,*,*,true,*
RZV,OMH,zd.wego.com,airport,false,*,*,true,*
PRN,OMH,zd.wego.com,airport,false,*,*,true,*
STN,OMH,zd.wego.com,airport,false,*,*,true,*
VAS,OMH,zd.wego.com,airport,false,*,*,true,*
TZL,OMH,zd.wego.com,airport,false,*,*,true,*
CDG,OMH,zd.wego.com,airport,false,*,*,true,*
BRU,OMH,zd.wego.com,airport,false,*,*,true,*
ADF,OMH,zd.wego.com,airport,false,*,*,true,*
VAN,OMH,zd.wego.com,airport,false,*,*,true,*
NAV,OMH,zd.wego.com,airport,false,*,*,true,*
SSH,MED,zd.wego.com,airport,false,*,*,true,*
SSH,JED,zd.wego.com,airport,false,*,*,true,*
ADB,ALG,zd.wego.com,airport,false,*,*,true,*
ALG,EZS,zd.wego.com,airport,false,*,*,true,*
ALG,SZF,zd.wego.com,airport,false,*,*,true,*
ALG,FCO,zd.wego.com,airport,false,*,*,true,*
ALG,BGW,zd.wego.com,airport,false,*,*,true,*
ALG,BGY,zd.wego.com,airport,false,*,*,true,*
ALG,ERC,zd.wego.com,airport,false,*,*,true,*
ALG,NKT,zd.wego.com,airport,false,*,*,true,*
ALG,MQM,zd.wego.com,airport,false,*,*,true,*
ALG,CAI,zd.wego.com,airport,false,*,*,true,*
ALG,MED,zd.wego.com,airport,false,*,*,true,*
ALG,DXB,zd.wego.com,airport,false,*,*,true,*
ALG,TBS,zd.wego.com,airport,false,*,*,true,*
ALG,AMS,zd.wego.com,airport,false,*,*,true,*
ALG,MLX,zd.wego.com,airport,false,*,*,true,*
ALG,BSL,zd.wego.com,airport,false,*,*,true,*
ALG,MUC,zd.wego.com,airport,false,*,*,true,*
ALG,AYT,zd.wego.com,airport,false,*,*,true,*
ALG,ZRH,zd.wego.com,airport,false,*,*,true,*
ALG,DNZ,zd.wego.com,airport,false,*,*,true,*
ALG,STR,zd.wego.com,airport,false,*,*,true,*
ALG,TZX,zd.wego.com,airport,false,*,*,true,*
ALG,GYD,zd.wego.com,airport,false,*,*,true,*
ALG,KYA,zd.wego.com,airport,false,*,*,true,*
ALG,SHJ,zd.wego.com,airport,false,*,*,true,*
ALG,TJK,zd.wego.com,airport,false,*,*,true,*
ALG,VAS,zd.wego.com,airport,false,*,*,true,*
ALG,PRN,zd.wego.com,airport,false,*,*,true,*
ALG,STN,zd.wego.com,airport,false,*,*,true,*
ALG,BJV,zd.wego.com,airport,false,*,*,true,*
ALG,RZV,zd.wego.com,airport,false,*,*,true,*
