departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
KWI,CAI,zm.wego.com,airport,false,*,*,true,*
SHJ,SAW,zm.wego.com,airport,false,*,*,true,*
JED,SKT,zm.wego.com,airport,false,*,*,true,*
AUH,LKO,zm.wego.com,airport,false,*,*,true,*
DXB,ADD,zm.wego.com,airport,false,*,*,true,*
JED,PEW,zm.wego.com,airport,false,*,*,true,*
DMM,HAS,zm.wego.com,airport,false,*,*,true,*
COK,DXB,zm.wego.com,airport,false,*,*,true,*
DEL,GAU,zm.wego.com,airport,false,*,*,true,*
BAH,RUH,zm.wego.com,airport,false,*,*,true,*
JED,GYD,zm.wego.com,airport,false,*,*,true,*
MCT,SKT,zm.wego.com,airport,false,*,*,true,*
HOF,JED,zm.wego.com,airport,false,*,*,true,*
ADD,RUH,zm.wego.com,airport,false,*,*,true,*
PAT,BLR,zm.wego.com,airport,false,*,*,true,*
KUL,LGK,zm.wego.com,airport,false,*,*,true,*
DXB,ATQ,zm.wego.com,airport,false,*,*,true,*
DEL,DBR,zm.wego.com,airport,false,*,*,true,*
SHJ,TRV,zm.wego.com,airport,false,*,*,true,*
MED,KHI,zm.wego.com,airport,false,*,*,true,*
HMB,AUH,zm.wego.com,airport,false,*,*,true,*
DEL,MAA,zm.wego.com,airport,false,*,*,true,*
JED,EAM,zm.wego.com,airport,false,*,*,true,*
CAI,SAW,zm.wego.com,airport,false,*,*,true,*
HYD,DMM,zm.wego.com,airport,false,*,*,true,*
BOM,LKO,zm.wego.com,airport,false,*,*,true,*
DOH,MCT,zm.wego.com,airport,false,*,*,true,*
DEL,GOI,zm.wego.com,airport,false,*,*,true,*
VNS,BOM,zm.wego.com,airport,false,*,*,true,*
DXB,HYD,zm.wego.com,airport,false,*,*,true,*
DMM,PAT,zm.wego.com,airport,false,*,*,true,*
SXR,IXJ,zm.wego.com,airport,false,*,*,true,*
IXE,AUH,zm.wego.com,airport,false,*,*,true,*
MED,LHE,zm.wego.com,airport,false,*,*,true,*
MED,DEL,zm.wego.com,airport,false,*,*,true,*
GAU,DEL,zm.wego.com,airport,false,*,*,true,*
LKO,KWI,zm.wego.com,airport,false,*,*,true,*
KWI,JAI,zm.wego.com,airport,false,*,*,true,*
DXB,MAA,zm.wego.com,airport,false,*,*,true,*
SAW,DMM,zm.wego.com,airport,false,*,*,true,*
YNB,DMM,zm.wego.com,airport,false,*,*,true,*
MED,ISB,zm.wego.com,airport,false,*,*,true,*
JED,MXP,zm.wego.com,airport,false,*,*,true,*
CAI,DXB,zm.wego.com,airport,false,*,*,true,*
TUU,DEL,zm.wego.com,airport,false,*,*,true,*
JED,MCT,zm.wego.com,airport,false,*,*,true,*
BOM,DMM,zm.wego.com,airport,false,*,*,true,*
GIZ,CAI,zm.wego.com,airport,false,*,*,true,*
BAH,JED,zm.wego.com,airport,false,*,*,true,*
SAW,MED,zm.wego.com,airport,false,*,*,true,*
DEL,KWI,zm.wego.com,airport,false,*,*,true,*
JED,CCU,zm.wego.com,airport,false,*,*,true,*
BLR,BOM,zm.wego.com,airport,false,*,*,true,*
AMD,DEL,zm.wego.com,airport,false,*,*,true,*
DMM,NJF,zm.wego.com,airport,false,*,*,true,*
EBL,SAW,zm.wego.com,airport,false,*,*,true,*
COK,AUH,zm.wego.com,airport,false,*,*,true,*
IXJ,SXR,zm.wego.com,airport,false,*,*,true,*
MCT,KHI,zm.wego.com,airport,false,*,*,true,*
DMM,GOP,zm.wego.com,airport,false,*,*,true,*
MCT,CCJ,zm.wego.com,airport,false,*,*,true,*
AUH,CNN,zm.wego.com,airport,false,*,*,true,*
BOM,BLR,zm.wego.com,airport,false,*,*,true,*
AUH,HYD,zm.wego.com,airport,false,*,*,true,*
TUU,MED,zm.wego.com,airport,false,*,*,true,*
JED,PAT,zm.wego.com,airport,false,*,*,true,*
DEL,AMD,zm.wego.com,airport,false,*,*,true,*
DXB,JAI,zm.wego.com,airport,false,*,*,true,*
DXB,IXE,zm.wego.com,airport,false,*,*,true,*
MCT,HKT,zm.wego.com,airport,false,*,*,true,*
ISB,MCT,zm.wego.com,airport,false,*,*,true,*
MAA,DEL,zm.wego.com,airport,false,*,*,true,*
SAW,BEY,zm.wego.com,airport,false,*,*,true,*
AHB,DEL,zm.wego.com,airport,false,*,*,true,*
SHJ,ATQ,zm.wego.com,airport,false,*,*,true,*
DOH,SAW,zm.wego.com,airport,false,*,*,true,*
TUU,AHB,zm.wego.com,airport,false,*,*,true,*
JED,GOP,zm.wego.com,airport,false,*,*,true,*
JED,FCO,zm.wego.com,airport,false,*,*,true,*
AUH,COK,zm.wego.com,airport,false,*,*,true,*
KWI,PAT,zm.wego.com,airport,false,*,*,true,*
MNL,RUH,zm.wego.com,airport,false,*,*,true,*
IXB,DEL,zm.wego.com,airport,false,*,*,true,*
AUH,CCJ,zm.wego.com,airport,false,*,*,true,*
LKO,AHB,zm.wego.com,airport,false,*,*,true,*
MCT,HYD,zm.wego.com,airport,false,*,*,true,*
HAS,LKO,zm.wego.com,airport,false,*,*,true,*
MED,JED,zm.wego.com,airport,false,*,*,true,*
DXB,IXM,zm.wego.com,airport,false,*,*,true,*
AMD,DXB,zm.wego.com,airport,false,*,*,true,*
SAW,AMM,zm.wego.com,airport,false,*,*,true,*
RUH,SKT,zm.wego.com,airport,false,*,*,true,*
KWI,VNS,zm.wego.com,airport,false,*,*,true,*
AUH,EVN,zm.wego.com,airport,false,*,*,true,*
AJF,RUH,zm.wego.com,airport,false,*,*,true,*
MCT,MUX,zm.wego.com,airport,false,*,*,true,*
KWI,CCU,zm.wego.com,airport,false,*,*,true,*
RUH,STN,zm.wego.com,airport,false,*,*,true,*
JED,BAH,zm.wego.com,airport,false,*,*,true,*
DEL,BKK,zm.wego.com,airport,false,*,*,true,*
SAW,CAI,zm.wego.com,airport,false,*,*,true,*
AHB,LHE,zm.wego.com,airport,false,*,*,true,*
BOM,IXD,zm.wego.com,airport,false,*,*,true,*
HYD,KWI,zm.wego.com,airport,false,*,*,true,*
SKT,MCT,zm.wego.com,airport,false,*,*,true,*
RUH,MUX,zm.wego.com,airport,false,*,*,true,*
DBR,DEL,zm.wego.com,airport,false,*,*,true,*
BOM,DBR,zm.wego.com,airport,false,*,*,true,*
ISB,DMM,zm.wego.com,airport,false,*,*,true,*
DMM,SKT,zm.wego.com,airport,false,*,*,true,*
MED,DOH,zm.wego.com,airport,false,*,*,true,*
BGW,MCT,zm.wego.com,airport,false,*,*,true,*
MCT,LKO,zm.wego.com,airport,false,*,*,true,*
LKO,BOM,zm.wego.com,airport,false,*,*,true,*
BOM,MCT,zm.wego.com,airport,false,*,*,true,*
SHJ,LKO,zm.wego.com,airport,false,*,*,true,*
JED,HKT,zm.wego.com,airport,false,*,*,true,*
DXB,AMD,zm.wego.com,airport,false,*,*,true,*
KWI,CCJ,zm.wego.com,airport,false,*,*,true,*
DUS,BEY,zm.wego.com,airport,false,*,*,true,*
CCU,GAU,zm.wego.com,airport,false,*,*,true,*
KWI,DAC,zm.wego.com,airport,false,*,*,true,*
MED,TUU,zm.wego.com,airport,false,*,*,true,*
AHB,TUU,zm.wego.com,airport,false,*,*,true,*
MAA,KWI,zm.wego.com,airport,false,*,*,true,*
MCT,IKA,zm.wego.com,airport,false,*,*,true,*
BOM,GOI,zm.wego.com,airport,false,*,*,true,*
AUH,PAT,zm.wego.com,airport,false,*,*,true,*
COK,KWI,zm.wego.com,airport,false,*,*,true,*
DXB,DVO,zm.wego.com,airport,false,*,*,true,*
GAU,CCU,zm.wego.com,airport,false,*,*,true,*
AMM,MED,zm.wego.com,airport,false,*,*,true,*
BLR,GOI,zm.wego.com,airport,false,*,*,true,*
BOM,GOX,zm.wego.com,airport,false,*,*,true,*
TIF,LKO,zm.wego.com,airport,false,*,*,true,*
CCU,DMK,zm.wego.com,airport,false,*,*,true,*
MED,AHB,zm.wego.com,airport,false,*,*,true,*
DEL,SAG,zm.wego.com,airport,false,*,*,true,*
AUH,KUT,zm.wego.com,airport,false,*,*,true,*
RUH,VIE,zm.wego.com,airport,false,*,*,true,*
BAH,MED,zm.wego.com,airport,false,*,*,true,*
BLR,IXD,zm.wego.com,airport,false,*,*,true,*
AMD,DMK,zm.wego.com,airport,false,*,*,true,*
BOM,GOP,zm.wego.com,airport,false,*,*,true,*
MED,BAH,zm.wego.com,airport,false,*,*,true,*
AUH,DEL,zm.wego.com,airport,false,*,*,true,*
MED,MUX,zm.wego.com,airport,false,*,*,true,*
HYD,TIR,zm.wego.com,airport,false,*,*,true,*
CCJ,AUH,zm.wego.com,airport,false,*,*,true,*
JED,KUL,zm.wego.com,airport,false,*,*,true,*
CCU,IXZ,zm.wego.com,airport,false,*,*,true,*
RUH,MCT,zm.wego.com,airport,false,*,*,true,*
RUH,ADD,zm.wego.com,airport,false,*,*,true,*
SAW,BGW,zm.wego.com,airport,false,*,*,true,*
DEL,DMK,zm.wego.com,airport,false,*,*,true,*
DAC,MCT,zm.wego.com,airport,false,*,*,true,*
JED,VIE,zm.wego.com,airport,false,*,*,true,*
DEL,DMM,zm.wego.com,airport,false,*,*,true,*
CMN,JED,zm.wego.com,airport,false,*,*,true,*
CMN,SAW,zm.wego.com,airport,false,*,*,true,*
DMM,MCT,zm.wego.com,airport,false,*,*,true,*
BOM,KWI,zm.wego.com,airport,false,*,*,true,*
DEL,VNS,zm.wego.com,airport,false,*,*,true,*
DMM,YNB,zm.wego.com,airport,false,*,*,true,*
AHB,DXB,zm.wego.com,airport,false,*,*,true,*
LHE,MCT,zm.wego.com,airport,false,*,*,true,*
JED,KTM,zm.wego.com,airport,false,*,*,true,*
BOM,BKK,zm.wego.com,airport,false,*,*,true,*
BOM,HYD,zm.wego.com,airport,false,*,*,true,*
KWI,STN,zm.wego.com,airport,false,*,*,true,*
MED,SPX,zm.wego.com,airport,false,*,*,true,*
SAW,TZX,zm.wego.com,airport,false,*,*,true,*
RUH,HBE,zm.wego.com,airport,false,*,*,true,*
BOM,DMK,zm.wego.com,airport,false,*,*,true,*
DOH,CNN,zm.wego.com,airport,false,*,*,true,*
LKO,AUH,zm.wego.com,airport,false,*,*,true,*
HYD,BOM,zm.wego.com,airport,false,*,*,true,*
RUH,IXE,zm.wego.com,airport,false,*,*,true,*
RUH,AJF,zm.wego.com,airport,false,*,*,true,*
DOH,MED,zm.wego.com,airport,false,*,*,true,*
HYD,GOI,zm.wego.com,airport,false,*,*,true,*
BOM,AYJ,zm.wego.com,airport,false,*,*,true,*
DEL,GOX,zm.wego.com,airport,false,*,*,true,*
MNL,DVO,zm.wego.com,airport,false,*,*,true,*
TUU,LKO,zm.wego.com,airport,false,*,*,true,*
CCJ,MCT,zm.wego.com,airport,false,*,*,true,*
SPX,SAW,zm.wego.com,airport,false,*,*,true,*
SAW,SPX,zm.wego.com,airport,false,*,*,true,*
AHB,MED,zm.wego.com,airport,false,*,*,true,*
CAI,AHB,zm.wego.com,airport,false,*,*,true,*
LHE,AHB,zm.wego.com,airport,false,*,*,true,*
JED,HOF,zm.wego.com,airport,false,*,*,true,*
RUH,JAI,zm.wego.com,airport,false,*,*,true,*
MCT,JAI,zm.wego.com,airport,false,*,*,true,*
BLR,VNS,zm.wego.com,airport,false,*,*,true,*
LHE,MED,zm.wego.com,airport,false,*,*,true,*
CCU,BKK,zm.wego.com,airport,false,*,*,true,*
DOH,CMB,zm.wego.com,airport,false,*,*,true,*
DUS,EBL,zm.wego.com,airport,false,*,*,true,*
DOH,DEL,zm.wego.com,airport,false,*,*,true,*
BGW,JED,zm.wego.com,airport,false,*,*,true,*
CNN,AUH,zm.wego.com,airport,false,*,*,true,*
SPX,MXP,zm.wego.com,airport,false,*,*,true,*
RUH,SJJ,zm.wego.com,airport,false,*,*,true,*
BOM,SXR,zm.wego.com,airport,false,*,*,true,*
DBR,BOM,zm.wego.com,airport,false,*,*,true,*
CCU,SXR,zm.wego.com,airport,false,*,*,true,*
RUH,HKT,zm.wego.com,airport,false,*,*,true,*
DEL,HKT,zm.wego.com,airport,false,*,*,true,*
LHE,GIZ,zm.wego.com,airport,false,*,*,true,*
DEL,DPS,zm.wego.com,airport,false,*,*,true,*
AUH,BOM,zm.wego.com,airport,false,*,*,true,*
DEL,AHB,zm.wego.com,airport,false,*,*,true,*
MCT,DMM,zm.wego.com,airport,false,*,*,true,*
BOM,PAT,zm.wego.com,airport,false,*,*,true,*
BLR,DMK,zm.wego.com,airport,false,*,*,true,*
DOH,HYD,zm.wego.com,airport,false,*,*,true,*
GOP,BOM,zm.wego.com,airport,false,*,*,true,*
KWI,TZX,zm.wego.com,airport,false,*,*,true,*
KWI,CDP,zm.wego.com,airport,false,*,*,true,*
SAW,EBL,zm.wego.com,airport,false,*,*,true,*
ATQ,DXB,zm.wego.com,airport,false,*,*,true,*
MCT,RUH,zm.wego.com,airport,false,*,*,true,*
BOM,AUH,zm.wego.com,airport,false,*,*,true,*
JED,ASM,zm.wego.com,airport,false,*,*,true,*
HYD,DMK,zm.wego.com,airport,false,*,*,true,*
VNS,DEL,zm.wego.com,airport,false,*,*,true,*
