departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
YYZ,AUA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SJU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,STI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GCM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SDQ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SAL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CHI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LON,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ORL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,NYC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BOG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SCL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MAD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MGA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BCN,theflightsfare.com-CA,airport,false,*,*,false,*
